Name,StructType,Project_Id,ProjectLnk,Status,Appear_Dt,Appear_Src,Disapp_Dt,Disapp_Src,Editor,Edit_Dt,EditAction,Model_ID,Model_Cred,ModelBatch,Model_File,Model_Dt,Model_Note,Model_LOD,Survey_Dt,Survey_Src,Centr_Lat,Centr_Lon,Gnd_El_Ft,Z_Max_Ft,Z_MIn_Ft,Height_Ft,Tile_ID,Parcel_ID,Struct_ID,StructUse,GoogleLnk,NearMapLnk,Struct_Lnk,Parcel_Lnk,chgAction,chgStatus,chgStatDt,chgStatSrc,chgQAIssue,chgFlag,ChgEdBatch,RecInitUsr,RecInitDt,ChgFlagger,ChgFlagDt
248 270 MERIDIAN ST,Building,0,,Demolished,,,20160926,Nearmap 9/26/2016,pbc,20210805,Updated Status,BOS_K4DR0JV,Extruded from 2012 Photogrammetric Footprints and DTM by pbcGIS.,9/9/2017,Bos3dBase.gdb/Bos3d_Buildings_Poly,20170909,,1,20110401,"Photogrammetry by Infotech, 2011",42.3761324447,-71.039295973,0,52.5000258333,21.5000878333,0,,,,,,"https://apps.nearmap.com/maps/#/@None,None,21.00z,1d/3D",,,,,,,,,,PBCOTE,20210809,,
248 270 MERIDIAN ST,Building,0,,Demolished,,,20160926,Nearmap 9/26/2016,pbc,20210805,Updated Status,BOS_W02AACW,Extruded from 2012 Photogrammetric Footprints and DTM by pbcGIS.,9/9/2017,Bos3dBase.gdb/Bos3d_Buildings_Poly,20170909,,1,20110401,"Photogrammetry by Infotech, 2011",42.3763680684,-71.0396119722,0,73.9999828333,15.0001008333,0,,,,,,"https://apps.nearmap.com/maps/#/@None,None,21.00z,1d/3D",,,,,,,,,,PBCOTE,20210809,,
